Effective Date,Bank Rate,Repo,Reverse Repo,SDF,MSF,CRR,SLR
05-01-2019,6.75,6.50,6.25,-,-,-,19.25
01-08-2018,6.75,6.50,6.25,-,6.75,-,-
06-06-2018,6.50,6.25,6.00,-,6.50,-,-
14-10-2017,6.25,6.00,5.75,-,-,-,19.50
02-08-2017,6.25,6.00,5.75,-,6.25,-,-
24-06-2017,6.50,6.25,6.00,-,-,-,20.00
06-04-2017,6.50,6.25,6.00,-,6.50,-,-
07-01-2017,6.75,6.25,5.75,-,-,-,20.50
04-10-2016,6.75,6.25,5.75,-,6.75,-,-
01-10-2016,7.00,6.50,6.00,-,-,-,20.75
09-07-2016,7.00,6.50,6.00,-,-,-,21.00
05-04-2016,7.00,6.50,6.00,-,7.00,-,-
02-04-2016,7.75,6.75,5.75,-,-,-,21.25
29-09-2015,7.75,6.75,5.75,-,7.75,-,-
02-06-2015,8.25,7.25,6.25,-,8.25,-,-
04-03-2015,8.50,7.50,6.50,-,8.50,-,-
07-02-2015,8.75,7.75,6.75,-,-,-,21.50
15-01-2015,8.75,7.75,6.75,-,8.75,-,-
09-08-2014,9.00,8.00,7.00,-,-,-,22.00
14-06-2014,9.00,8.00,7.00,-,-,-,22.50
28-01-2014,9.00,8.00,7.00,-,9.00,-,-
29-10-2013,8.75,7.75,6.75,-,8.75,-,-
07-10-2013,9.00,7.50,6.50,-,9.00,-,-
20-09-2013,9.50,7.50,6.50,-,9.50,-,-
15-07-2013,10.25,7.25,6.25,-,10.25,-,-
03-05-2013,8.25,7.25,6.25,-,8.25,-,-
19-03-2013,8.50,7.50,6.50,-,8.50,-,-
09-02-2013,8.75,7.75,6.75,-,-,4,-
29-01-2013,8.75,7.75,6.75,-,8.75,-,-
03-11-2012,9.00,8.00,7.00,-,-,4.25,-
22-09-2012,9.00,8.00,7.00,-,-,4.5,-
11-08-2012,9.00,8.00,7.00,-,-,-,23.00
17-04-2012,9.00,8.00,7.00,-,9.00,-,-
10-03-2012,9.50,8.50,7.50,-,-,4.75,-
13-02-2012,9.50,8.50,7.50,-,-,-,-
28-01-2012,-,8.50,7.50,-,-,5.5,-
25-10-2011,-,8.50,7.50,-,9.50,-,-
16-09-2011,-,8.25,7.25,-,9.25,-,-
26-07-2011,-,8.00,7.00,-,9.00,-,-
16-06-2011,-,7.50,6.50,-,8.50,-,-
03-05-2011,-,7.25,6.25,-,8.25,-,-
17-03-2011,-,6.75,5.75,-,-,-,-
25-01-2011,-,6.50,5.50,-,-,-,-
18-12-2010,-,-,5.25,-,-,-,24.00
02-11-2010,-,6.25,5.25,-,-,-,-
16-09-2010,-,6.00,5.00,-,-,-,-
27-07-2010,-,5.75,4.50,-,-,-,-
02-07-2010,-,5.50,4.00,-,-,-,-
24-04-2010,-,-,-,-,-,6,-
20-04-2010,-,5.25,3.75,-,-,-,-
19-03-2010,-,5.00,3.50,-,-,-,-
27-02-2010,-,-,-,-,-,5.75,-
13-02-2010,-,-,-,-,-,5.5,-
07-11-2009,-,-,-,-,-,-,25.00
21-04-2009,-,4.75,3.25,-,-,-,-
05-03-2009,-,5.00,3.50,-,-,-,-
17-01-2009,-,-,-,-,-,5,-
05-01-2009,-,5.50,4.00,-,-,-,-
08-12-2008,-,6.50,5.00,-,-,-,-
08-11-2008,-,-,-,-,-,5.5,24.00
03-11-2008,-,7.50,-,-,-,-,-
25-10-2008,-,-,-,-,-,6,-
20-10-2008,-,8.00,-,-,-,-,-
11-10-2008,-,-,-,-,-,6.5,-
30-08-2008,-,-,-,-,-,9,-
30-07-2008,-,9.00,-,-,-,-,-
19-07-2008,-,-,-,-,-,8.75,-
05-07-2008,-,-,-,-,-,8.5,-
25-06-2008,-,8.50,-,-,-,-,-
12-06-2008,-,8.00,-,-,-,-,-
24-05-2008,-,-,-,-,-,8.25,-
10-05-2008,-,-,-,-,-,8,-
26-04-2008,-,-,-,-,-,7.75,-
10-11-2007,-,-,-,-,-,7.5,-
04-08-2007,-,-,-,-,-,7,-
28-04-2007,-,-,-,-,-,6.5,-
14-04-2007,-,-,-,-,-,6.25,-
31-03-2007,-,7.75,-,-,-,-,-
03-03-2007,-,-,-,-,-,6,-
17-02-2007,-,-,-,-,-,5.75,-
31-01-2007,-,7.50,-,-,-,-,-
06-01-2007,-,-,-,-,-,5.5,-
23-12-2006,-,-,-,-,-,5.25,-
31-10-2006,-,7.25,-,-,-,-,-
25-07-2006,-,7.00,6.00,-,-,-,-
08-06-2006,-,6.75,5.75,-,-,-,-
24-01-2006,-,6.50,5.50,-,-,-,-
26-10-2005,-,6.25,5.25,-,-,-,-
29-04-2005,-,-,5.00,-,-,-,-
27-10-2004,-,-,4.75,-,-,-,-
02-10-2004,-,-,-,-,-,5,-
18-09-2004,-,-,-,-,-,4.75,-
31-03-2004,-,6.00,-,-,-,-,-
25-08-2003,-,-,4.50,-,-,-,-
14-06-2003,-,-,-,-,-,4.5,-
29-04-2003,6.00,-,-,-,-,-,-
19-03-2003,-,7.00,-,-,-,-,-
07-03-2003,-,7.10,-,-,-,-,-
03-03-2003,-,-,5.00,-,-,-,-
16-11-2002,-,-,-,-,-,4.75,-
12-11-2002,-,7.50,-,-,-,-,-
29-10-2002,6.25,-,5.50,-,-,-,-
27-06-2002,-,-,5.75,-,-,-,-
01-06-2002,-,-,-,-,-,5,-
28-03-2002,-,8.00,-,-,-,-,-
05-03-2002,-,-,6.00,-,-,-,-
29-12-2001,-,-,-,-,-,5.5,-
03-11-2001,-,-,-,-,-,5.75,-
23-10-2001,6.50,-,-,-,-,-,-
07-06-2001,-,8.50,-,-,-,-,-
28-05-2001,-,-,6.50,-,-,-,-
19-05-2001,-,-,-,-,-,7.5,-
30-04-2001,-,8.75,-,-,-,-,-
27-04-2001,-,9.00,6.75,-,-,-,-
10-03-2001,-,-,-,-,-,8,-
02-03-2001,7.00,-,-,-,-,-,-
24-02-2001,-,-,-,-,-,8.25,-
17-02-2001,7.50,-,-,-,-,-,-
12-08-2000,-,-,-,-,-,8.5,-
29-07-2000,-,-,-,-,-,8.25,-
22-07-2000,8.00,-,-,-,-,-,-
22-04-2000,-,-,-,-,-,8,-
08-04-2000,-,-,-,-,-,8.5,-
02-04-2000,7.00,-,-,-,-,-,-
20-11-1999,-,-,-,-,-,9,-
06-11-1999,-,-,-,-,-,9.5,-
08-05-1999,-,-,-,-,-,10,-
13-03-1999,-,-,-,-,-,10.5,-
02-03-1999,8.00,-,-,-,-,-,-
29-08-1998,-,-,-,-,-,11,-
29-04-1998,9.00,-,-,-,-,-,-
11-04-1998,-,-,-,-,-,10,-
03-04-1998,10.00,-,-,-,-,-,-
28-03-1998,-,-,-,-,-,10.25,-
19-03-1998,10.50,-,-,-,-,-,-
17-01-1998,11.00,-,-,-,-,10.5,-
06-12-1997,-,-,-,-,-,10,-
22-11-1997,-,-,-,-,-,9.5,-
25-10-1997,-,-,-,-,-,9.75,25.00
22-10-1997,9.00,-,-,-,-,-,-
26-06-1997,10.00,-,-,-,-,-,-
16-04-1997,11.00,-,-,-,-,-,-
18-01-1997,-,-,-,-,-,10,-
04-01-1997,-,-,-,-,-,10.5,-
09-11-1996,-,-,-,-,-,11,-
26-10-1996,-,-,-,-,-,11.5,-
06-07-1996,-,-,-,-,-,12,-
11-05-1996,-,-,-,-,-,13,-
27-04-1996,-,-,-,-,-,13.5,-
09-12-1995,-,-,-,-,-,14,-
11-11-1995,-,-,-,-,-,14.5,-
29-10-1994,-,-,-,-,-,-,31.50
17-09-1994,-,-,-,-,-,-,33.75
20-08-1994,-,-,-,-,-,-,34.25
06-08-1994,-,-,-,-,-,15,-
09-07-1994,-,-,-,-,-,14.75,-
11-06-1994,-,-,-,-,-,14.5,-
16-10-1993,-,-,-,-,-,-,34.75
18-09-1993,-,-,-,-,-,-,37.25
21-08-1993,-,-,-,-,-,-,37.50
15-05-1993,-,-,-,-,-,14,-
17-04-1993,-,-,-,-,-,14.5,-
06-03-1993,-,-,-,-,-,-,37.75
06-02-1993,-,-,-,-,-,-,38.00
09-01-1993,-,-,-,-,-,-,38.25
09-10-1991,12.00,-,-,-,-,-,-
04-07-1991,11.00,-,-,-,-,-,-
22-09-1990,-,-,-,-,-,-,38.50
01-07-1989,-,-,-,-,-,15,-
30-07-1988,-,-,-,-,-,11,-
02-07-1988,-,-,-,-,-,10.5,-
02-01-1988,-,-,-,-,-,-,38.00
24-10-1987,-,-,-,-,-,10,-
25-04-1987,-,-,-,-,-,-,37.50
28-02-1987,-,-,-,-,-,9.5,-
06-07-1985,-,-,-,-,-,-,37.00
08-06-1985,-,-,-,-,-,-,36.50
01-09-1984,-,-,-,-,-,-,36.00
28-07-1984,-,-,-,-,-,-,35.50
04-02-1984,-,-,-,-,-,9,-
27-08-1983,-,-,-,-,-,8.5,-
29-07-1983,-,-,-,-,-,8,-
27-05-1983,-,-,-,-,-,7.5,-
11-06-1982,-,-,-,-,-,7,-
09-04-1982,-,-,-,-,-,7.25,-
29-01-1982,-,-,-,-,-,7.75,-
25-12-1981,-,-,-,-,-,7.5,-
27-11-1981,-,-,-,-,-,7.25,-
30-10-1981,-,-,-,-,-,-,35.00
25-09-1981,-,-,-,-,-,-,34.50
21-08-1981,-,-,-,-,-,7,-
31-07-1981,-,-,-,-,-,6.5,-
12-07-1981,10.00,-,-,-,-,-,-
01-12-1978,-,-,-,-,-,-,34.00
13-11-1976,-,-,-,-,-,6,-
04-09-1976,-,-,-,-,-,5,-
28-12-1974,-,-,-,-,-,4,-
14-12-1974,-,-,-,-,-,4.5,-
23-07-1974,9.00,-,-,-,-,-,-
01-07-1974,-,-,-,-,-,5,33.00
08-12-1973,-,-,-,-,-,-,32.00
22-09-1973,-,-,-,-,-,7,-
08-09-1973,-,-,-,-,-,6,-
29-06-1973,-,-,-,-,-,5,-
31-05-1973,7.00,-,-,-,-,-,-
17-11-1972,-,-,-,-,-,-,30.00
04-08-1972,-,-,-,-,-,-,29.00
09-01-1971,6.00,-,-,-,-,-,-
28-08-1970,-,-,-,-,-,-,28.00
24-04-1970,-,-,-,-,-,-,27.00
05-02-1970,-,-,-,-,-,-,26.00
02-03-1968,5.00,-,-,-,-,-,-
17-02-1965,6.00,-,-,-,-,-,-
26-09-1964,5.00,-,-,-,-,-,-
16-09-1964,-,-,-,-,-,-,25.00
03-01-1963,4.50,-,-,-,-,-,-
16-09-1962,-,-,-,-,-,3.00 % of NDTL,-
11-11-1960,-,-,-,-,-,"(a) 5% of DL, (b) 2% of TL",-
06-05-1960,-,-,-,-,-,"(a) 5% of DL, (b) 2% of TL",-
06-03-1960,-,-,-,-,-,"(a) 5% of DL, (b) 2% of TL",-
16-05-1957,4.00,-,-,-,-,-,-
15-11-1951,3.50,-,-,-,-,-,-
16-03-1949,-,-,-,-,-,-,20.00
28-11-1935,3.00,-,-,-,-,-,-
05-07-1935,3.50,-,-,-,-,"(a) 5% of DL, (b) 2% of TL",-
